step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe, F_LIm, acc
100,400.000000,38.027577,-1868.754114,-1958.354483,-45.974385,-4.629648,-6.806828,0.113045
101,400.000000,33.954184,-1877.396616,-1957.399278,-46.010691,-4.629648,-6.806828,0.112794
102,400.000000,33.102870,-1872.377722,-1950.374521,-11.172551,-4.629648,-6.806828,0.112718
103,400.000000,33.696261,-1860.833883,-1940.228826,-40.161004,-4.629648,-6.806828,0.112596
104,400.000000,33.859845,-1849.269054,-1929.049433,-38.977538,-4.629648,-6.806828,0.112714
105,400.000000,33.209959,-1855.101958,-1933.351081,-36.900647,-4.629648,-6.806828,0.112429
106,400.000000,33.217582,-1864.060711,-1942.327795,-18.920837,-4.629648,-6.806828,0.112453
107,400.000000,32.630116,-1867.011603,-1943.894503,-25.828353,-4.629648,-6.806828,0.112083
108,400.000000,33.247881,-1855.841512,-1934.179986,-26.239425,-4.629648,-6.806828,0.111950
109,400.000000,32.516350,-1881.564565,-1958.179410,-29.100247,-4.629648,-6.806828,0.111932
110,400.000000,31.882877,-1877.060520,-1952.182778,-30.359497,-4.629648,-6.806828,0.111757
111,400.000000,32.232915,-1884.947787,-1960.894805,-30.250197,-4.629648,-6.806828,0.111272
112,400.000000,32.083470,-1881.157091,-1956.751986,-29.221934,-4.629648,-6.806828,0.111150
113,400.000000,31.785474,-1887.910122,-1962.802881,-27.126768,-4.629648,-6.806828,0.110877
114,400.000000,31.047497,-1890.638122,-1963.792063,-30.970202,-4.629648,-6.806828,0.110652
115,400.000000,31.279268,-1892.549058,-1966.249097,-32.374489,-4.629648,-6.806828,0.110668
116,400.000000,31.102789,-1890.290704,-1963.574924,-38.473167,-4.629648,-6.806828,0.110449
117,400.000000,31.091626,-1892.582820,-1965.840738,-36.881350,-4.629648,-6.806828,0.110085
118,400.000000,31.175589,-1883.348616,-1956.804366,-34.289367,-4.629648,-6.806828,0.109790
119,400.000000,30.782128,-1890.563837,-1963.092517,-35.559907,-4.629648,-6.806828,0.109604
120,400.000000,30.754952,-1882.973412,-1955.438062,-30.126980,-4.629648,-6.806828,0.109236
121,400.000000,30.709000,-1880.991748,-1953.348125,-31.342866,-4.629648,-6.806828,0.109139
122,400.000000,31.098969,-1888.419065,-1961.694284,-32.421598,-4.629648,-6.806828,0.109106
123,400.000000,31.287449,-1885.000538,-1958.719853,-34.203046,-4.629648,-6.806828,0.108972
124,400.000000,31.043130,-1892.457006,-1965.600657,-31.523141,-4.629648,-6.806828,0.108820
125,400.000000,31.043130,-1897.877557,-1971.021208,-28.611247,-4.629648,-6.806828,0.108472
